tu_id	speaker	start	end	parent_tu_id	text
207	PST077_trad	449.960	451.730	206	quindi facciamo sempre commutazione di codice
537	PST077_trad	1217.945	1220.020	536	ti dico si fa una commutazione di codice sempre
568	PST077_trad	1282.860	1284.534	567	fare così tanto commutazione di codice
648	PST077_trad	1456.000	1460.907	647	e f~ parlando così mh co~ facendo la commutazione di codice non te ne accorgi di queste cose
674	PST082_trad	1528.630	1533.959	673	in italia~ cioè l'ha tipo tradotta in romeno e ha detto non vedevo l'orologio
745	PST077_trad	1666.369	1669.510	744	parlando anche ungherese e rumeno e facendo questo cambio di codice
858	PST077_trad	1886.740	1887.840	857	sono senza figli (per scelta)
