tu_id	speaker	start	end	parent_tu_id	text
1	PST092_trad	0.980	7.396	0	ehm signora elisabeta lei è venuta in romania dalla romania qua in italia come ha vissuto lo spostamento
34	PST092_trad	101.047	102.202	33	per il centro
113	PST092_trad	364.410	370.610	112	cioè lei quando vengo qua la vedo molto spesso al centro, quanto tempo dedica al centro sia qua che fuori
251	PST094_trad	747.088	751.292	250	e io l'ho fatta una pièce di teatro che si chiamava in romaliano
316	PST094_trad	920.510	922.857	315	mi ha lasciato a raccogliere i funghi
335	PST094_trad	966.220	966.885	334	adesso
337	PST094_trad	966.974	969.409	336	adesso a casa ((ride))
382	PST094_trad	1072.040	1076.001	381	poi c'è quel stile di manele che
384	PST094_trad	1076.325	1079.480	383	vabbè se aprirò una scuola con quel stile
437	PST092_trad	1209.550	1211.330	436	soprattutto del gruppo avanzato
472	PST094_trad	1313.660	1315.390	471	il gruppo è gruppo
482	PST092_trad	1340.380	1347.810	481	per i ragazzi quando intende proprio gruppo gruppo in sé, se ci sono delle liti lei molto spesso come la prende?
533	PST094_trad	1493.630	1498.871	532	però non troppo perché comunque loro hanno il coreografo ha gli studi in
535	PST094_trad	1498.871	1500.390	534	settore
556	PST092_trad	1561.090	1566.530	555	del centro cos'è che le piace di più a parte i ragazzi, cosa le dà proprio la spinta?
584	PST092_trad	1631.030	1633.680	583	mh per i costumi come
588	PST094_trad	1638.000	1639.554	587	bello per i costumi
615	PST092_trad	1696.480	1698.510	614	per il centro
641	PST092_trad	1771.160	1771.550	640	violino
697	PST092_trad	1908.260	1909.386	696	del centro
700	PST092_trad	1912.560	1918.640	699	e anche che è cambiato molto l'ordine e c'è la stanza dei nonni che è quella che fa commuovere molte mamme
771	PST092_trad	2110.040	2112.020	770	se qualcun(o) del centro
