token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST211	0	0	0	°perfetto°.	perfetto	_	_	_	_	_	linguistic	_	none	Intonation=Falling|PauseAfter=Yes|Volume=low	Begin=0.57	_	_	_	_
0-1	PST211	0	0	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-2	PST211	0	0	2	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PST211	0	0	3	solo	solo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PST211	0	0	4	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PST211	0	0	5	così	così	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PST211	0	0	6	si	si	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PST211	0	0	7	sente:	sente	_	_	_	_	_	linguistic	_	none	_	_	4x1	_	_	_
0-8	PST211	0	0	8	meglio	meglio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-9	PST211	0	0	9	se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-10	PST211	0	0	10	c'	c'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
0-11	PST211	0	0	11	è:	è	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
0-12	PST211	0	0	12	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-13	PST211	0	0	13	miusica.	miusica	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=5.72	_	_	_	_
1-0	PST211	1	1	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=6.112	_	_	_	_
1-1	PST211	1	1	1	invece:	invece	_	_	_	_	_	linguistic	_	none	_	_	5x1	_	_	_
1-2	PST211	1	1	2	qui	qui	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	PST211	1	1	3	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	PST211	1	1	4	torino	torino	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-5	PST211	1	1	5	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-6	PST211	1	1	6	quanto	quanto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-7	PST211	1	1	7	tempo	tempo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-8	PST211	1	1	8	sei	sei	_	_	_	_	_	linguistic	_	none	_	End=8.51	_	_	_	_
2-0	PST073	2	2	0	e:h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=9.11	0x1	_	_	_
2-1	PST073	2	2	1	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PST073	2	2	2	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PST073	2	2	3	realtà	realtà	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PST073	2	2	4	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PST073	2	2	5	arrivato	arrivato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PST073	2	2	6	direttamente	direttamente	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
